IV1,IV2,DV
9,2084,14.2
6,1223,6.8
0,413,8.4
2,1587,9.6
11,1346,8.0
2,183,7.2
0,2501,13.1
4,1097,9.5
5,478,5.7
1,1393,9.6
2,1291,10.0
3,844,9.7
0,901,14.3
17,2043,11.6
16,457,6.2
8,1869,13.4
10,1299,9.1
1,638,8.0
0,746,9.0
3,1170,6.1
7,1658,10.5
1,326,8.7
5,1436,10.6
0,680,13.9
1,1962,13.8
0,593,9.3
0,313,7.3
8,801,9.2
2,755,8.6
21,1310,6.9
4,1013,7.8
11,1832,12.5
6,1166,10.1
10,1991,14.1
2,991,6.4
8,1701,12.6
0,1648,13.1
22,2093,10.6
12,1573,12.2
0,1117,10.9
1,632,5.0
2,1013,6.5
7,953,10.2
6,1327,9.8
7,748,11.0
12,1669,9.6
6,837,7.9
5,750,10.3
6,751,11.4
5,1777,10.2
2,1059,14.9
0,1552,10.5
8,1647,11.9
15,1824,14.4
11,1899,13.8
18,1544,10.3
2,1002,5.2
15,1908,13.1
18,2351,12.3
1,1060,11.1
0,488,8.7
16,897,8.7
0,217,5.5
1,704,10.4
8,1461,10.6
5,711,7.2
10,1861,10.3
1,497,10.2
7,841,8.4
12,538,5.4
0,287,5.8
2,1003,6.9
9,736,7.6
5,888,7.3
13,1680,13.1
0,677,7.3
11,1452,11.5
1,1080,10.2
10,1201,7.2
0,209,15.0
3,634,8.0
3,1036,10.3
0,480,9.1
7,1889,12.0
17,3282,14.8
0,321,6.0
24,1525,9.2
1,849,10.7
7,2714,13.1
16,1997,13.1
3,284,6.8
10,682,8.2
7,1414,7.7
1,1241,6.5
4,613,6.7
6,1267,9.6
2,670,5.5
12,887,6.1
1,473,11.9
11,1338,8.7
4,250,7.8
0,103,5.0
1,416,7.6
0,757,5.7
3,1530,10.5
20,1187,9.0
5,564,7.2
18,1790,8.6
10,1048,10.3
1,1010,6.8
7,269,6.6
3,956,9.7
1,758,11.2
8,675,9.5
9,648,8.2
7,2528,14.4
5,1468,9.4
13,711,7.9
1,2522,12.3
0,2081,13.2
2,915,10.9
1,772,11.8
0,1697,13.6
6,2527,13.6
7,953,8.1
1,184,5.4
8,1575,11.2
13,2918,15.0
5,1716,10.3
13,702,5.8
6,1918,11.4
12,958,6.0
5,1101,6.3
2,533,6.5
10,2573,12.8
5,1446,14.9
2,953,11.8
0,1009,13.0
13,1555,9.1
0,1299,8.0
1,620,6.2
5,1194,10.0
0,888,12.6
0,947,5.4
3,2045,13.2
4,2045,14.4
0,885,11.6
1,960,7.9
2,467,9.0
5,708,10.7
0,864,10.4
9,1418,9.1
11,748,7.0
12,1595,12.5
14,2479,12.2
3,994,9.8
5,1094,11.6
14,1391,10.3
13,2434,13.7
8,2505,12.5
6,1197,14.9
3,1204,7.1
5,342,8.5
6,1783,10.0
1,626,11.5
5,1726,12.8
10,1985,9.8
3,886,6.0
14,1687,8.9
19,1160,9.8
5,1357,13.6
3,452,6.4
2,1101,14.9
0,556,8.3
14,1049,5.6
7,791,10.4
0,322,8.7
15,1416,8.4
14,870,7.9
3,789,12.7
0,580,7.0
0,1701,12.7
16,2335,14.6
14,2255,11.7
4,1270,10.5
14,490,5.8
18,2703,14.3
1,906,8.2
1,838,6.0
15,1728,10.0
4,610,13.8
0,763,11.3
16,2159,12.4
12,1209,7.3
11,940,5.0
0,536,7.3
2,1465,12.8
5,230,5.0
3,596,12.3
14,1987,11.3
13,1799,9.5
0,1385,14.5
0,337,9.4
7,2297,12.6
16,799,7.6
3,854,9.5
14,1365,10.7
5,1726,14.1
6,277,5.9
17,1134,9.6
3,370,9.3
4,1529,13.9
0,239,15.0
0,739,13.4
0,211,9.8
19,2036,12.0
0,881,8.4
1,1370,11.2
1,1271,14.5
0,871,10.8
5,986,6.2
9,766,6.9
4,1301,14.3
2,955,10.0
10,739,5.4
16,2217,10.7
15,2080,11.0
12,925,6.2
0,1296,12.4
3,620,9.5
0,366,12.8
10,2120,13.5
2,864,14.3
2,1335,11.0
0,2059,11.5
1,1122,9.8
15,2866,13.8
5,1978,14.3
6,1350,11.1
6,375,8.3
13,2289,11.6
9,504,6.8
17,921,7.5
15,2788,13.8
3,414,10.9
2,822,8.1
1,1070,14.6
2,2423,13.6
15,877,7.1
2,1163,11.2
3,616,9.0
3,1474,7.8
14,1383,11.3
2,755,10.2
2,675,9.5
4,1093,11.1
15,2107,13.8
14,2361,14.2
2,1728,12.2
6,1401,10.1
0,1072,6.7
0,529,14.4
6,1501,10.3
13,2411,14.0
9,2609,12.3
0,1029,8.8
0,834,12.0
0,241,5.8
0,1201,9.0
14,1477,10.2
9,1454,8.6
2,651,7.4
3,724,11.3
17,2518,12.6
3,860,9.8
16,2074,13.9
1,1562,11.9
1,362,5.0
11,1140,9.4
17,1458,11.6
0,967,7.1
3,2908,13.3
11,1665,11.8
2,599,6.6
6,2115,12.6
5,1304,9.3
3,1084,11.8
0,901,8.1
0,129,5.2
6,1231,6.8
5,766,6.9
4,859,10.0
3,2886,14.6
3,1708,9.0
9,766,7.1
3,924,8.0
1,666,7.0
8,1527,9.9
3,1402,14.2
4,768,7.7
10,1493,11.7
12,1777,14.9
5,1350,14.5
7,1775,13.5
9,1135,6.7
3,859,7.8
2,1176,9.1
0,514,6.9
10,947,7.6
7,539,6.7
7,1072,7.1
4,1061,6.6
6,843,9.9
21,1144,8.9
10,2211,12.3
4,860,8.5
0,1057,11.0
4,1916,13.2
3,1404,13.4
11,717,8.6
2,1123,13.1
16,963,6.4
5,979,7.8
2,835,9.2
0,688,6.3
4,901,6.4
4,775,8.7
17,2038,10.3
9,824,7.6
10,1883,12.6
15,1440,11.8
4,935,5.5
13,1058,8.2
11,1612,10.8
7,1748,12.7
23,1728,10.7
17,2484,14.8
7,3021,14.8
4,2145,12.1
1,2372,14.4
5,708,7.5
4,1217,12.5
2,755,6.0
5,1070,9.9
2,1277,7.7
11,1572,11.7
11,516,6.2
1,730,12.1
18,599,5.3
21,2590,14.8
2,1725,10.9
0,927,5.5
0,951,7.3
4,1202,14.1
17,1818,10.3
7,818,10.8
13,356,5.6
10,1376,14.7
4,1037,8.7
4,1160,6.2
1,1550,10.7
2,759,5.7
6,1627,14.4
9,2266,13.5
19,1800,10.6
1,806,7.9
17,2070,14.2
5,612,8.8
12,1609,11.2
2,1293,10.9
2,1053,9.0
1,226,9.9
7,2072,10.4
3,650,7.4
1,1182,11.8
4,677,11.2
10,1011,9.0
8,1497,9.9
0,755,9.8
15,1264,8.0
2,1011,6.9
3,1695,12.5
14,991,10.0
4,1865,11.3
9,780,8.4
8,713,5.1
4,445,8.1
4,1765,11.8
7,1118,7.7
2,641,9.7
5,708,6.7
9,1693,11.9
6,1951,10.9
13,3239,14.1
16,833,8.3
2,627,8.6
0,841,10.0
10,1131,7.7
9,282,5.8
15,2050,14.3
2,1268,12.9
9,334,5.5
4,725,6.1
5,1022,8.8
2,943,6.2
16,442,5.8
18,1999,10.3
10,1813,10.5
4,1080,11.3
10,363,6.3
1,594,8.7
1,1007,8.5
0,1165,9.4
5,2526,14.9
1,428,14.5
17,2258,13.4
4,1130,6.1
9,1090,5.9
8,1044,6.6
11,675,7.7
1,1682,11.5
7,1490,11.7
13,1169,11.8
2,2468,14.0
10,1122,9.1
0,1089,13.0
3,1840,14.5
1,697,5.8
1,940,5.4
7,1982,11.0
2,753,8.4
0,913,10.5
0,880,8.9
0,386,6.3
7,1208,9.7
0,1537,12.4
11,432,5.2
9,1010,7.1
12,2173,10.0
7,2212,14.3
1,1976,14.2
2,993,6.1
16,2537,14.4
19,1780,11.3
3,1339,12.6
18,3011,14.6
2,183,5.6
2,1677,9.5
10,1683,13.0
1,482,9.4
3,1453,8.4
2,570,5.6
0,505,7.9
2,717,7.1
0,990,14.8
0,909,5.8
0,1054,10.2
3,564,7.0
15,1360,10.5
4,1325,12.8
10,2283,14.9
3,1474,14.2
1,236,6.2
9,1570,9.2
14,2637,14.1
17,2466,14.1
9,1506,12.9
1,1031,8.5
2,987,7.6
6,1837,13.5
5,1098,7.7
11,1536,12.8
16,1457,10.5
2,343,5.4
1,1161,6.5
6,2947,14.6
12,1002,7.4
2,311,5.6
18,1254,8.0
5,1598,13.0
12,1189,8.3
7,1472,13.6
21,638,6.3
7,1256,12.2
9,1250,7.5
10,1181,7.8
8,2029,14.0
1,282,12.4
0,691,9.5
7,2208,10.6
9,2537,14.2
1,335,5.4
2,297,11.4
15,1003,9.2
11,1247,11.5
4,923,13.7
1,546,14.0
0,688,6.0
1,1090,8.5
1,555,7.7
4,1195,9.9
1,957,10.2
14,1071,8.2
0,1046,14.8
6,903,5.9
2,435,6.3
3,988,10.1
1,875,14.6
0,645,14.3
8,801,11.3
1,1180,9.4
5,726,7.8
10,1583,10.3
3,944,13.6
12,2302,13.2
14,1335,12.9
0,775,7.0
12,1333,8.9
20,2058,12.2
17,2727,13.5
5,1202,9.0
5,1095,11.6
3,1109,12.6
1,1276,9.3
1,1484,9.7
23,2952,15.0
2,1518,13.3
6,1351,9.4
3,1424,13.9
15,1189,11.2
9,780,5.4
9,1472,9.9
10,671,8.5
17,662,7.2
1,578,7.0
3,1264,12.5
11,867,8.5
2,868,8.6
2,899,12.1
3,797,7.5
17,478,6.1
4,765,5.8
0,766,10.9
10,983,5.5
9,1510,10.9
0,1803,9.8
5,1536,13.9
7,1508,9.2
9,2026,12.6
9,2870,14.7
1,1100,9.7
10,1761,10.3
12,833,7.4
12,343,6.6
7,968,8.1
0,846,14.3
5,942,7.1
0,1167,9.1
5,1131,10.2
0,1249,10.6
5,150,5.3
0,638,5.1
13,1974,12.1
3,649,5.1
5,1092,11.1
4,1331,10.4
12,1430,13.7
10,1931,13.3
8,1605,9.6
4,1418,9.9
1,1415,11.8
18,964,9.0
1,828,6.6
4,800,7.5
9,1510,14.6
0,1375,13.3
0,882,11.4
2,1275,14.5
2,411,6.0
3,2020,12.1
0,575,7.3
0,1375,11.6
7,1493,13.4
7,2208,13.4
5,1074,6.9
3,988,14.2
6,2212,13.4
2,587,7.9
4,775,7.4
1,1766,11.5
4,905,7.7
16,2040,13.7
16,1553,7.5
0,824,10.6
4,1455,9.4
0,453,5.0
1,1031,13.2
0,1019,13.4
4,1305,12.1
1,1354,12.0
3,892,10.4
1,563,13.0
1,312,13.7
15,816,5.3
15,909,6.1
20,1217,9.8
5,1470,12.1
1,1190,7.1
10,1563,9.2
1,820,6.4
0,607,7.4
2,443,11.2
4,901,9.7
9,1160,12.8
11,2340,10.9
9,1324,7.7
4,1278,7.3
1,746,8.9
8,1219,10.8
9,1270,7.9
2,1494,8.7
6,817,7.5
7,1844,11.3
4,1445,8.1
0,214,6.6
3,532,6.3
0,751,7.0
9,1828,12.4
5,696,14.1
5,1190,7.4
9,1220,7.1
8,2308,14.5
6,403,5.8
5,1098,6.0
2,483,7.2
11,1355,7.9
10,2823,14.7
5,550,5.4
18,1499,8.2
6,427,8.1
4,589,6.6
0,560,14.7
1,1307,8.1
0,351,8.6
2,2094,11.5
1,611,12.0
17,1908,12.6
10,1670,10.6
11,1640,9.5
8,603,6.5
13,1334,12.9
1,1334,11.9
6,1195,5.9
6,519,6.1
4,1477,10.7
2,1333,9.7
5,1326,7.9
10,1150,9.3
10,1187,13.9
0,757,8.0
5,1403,11.1
11,1332,10.8
0,601,5.4
6,1252,7.4
1,533,13.8
0,167,5.0
14,1140,9.7
1,532,9.2
4,1293,7.6
5,542,9.0
6,1657,9.4
6,1567,10.2
1,835,13.1
3,1444,10.0
19,2183,11.2
5,2456,12.7
1,1250,9.3
4,2343,14.6
0,380,14.8
4,1415,10.1
3,1572,12.3
9,626,5.3
0,1681,14.4
1,959,11.8
2,1466,10.3
10,2699,14.3
18,2971,14.2
7,1072,9.7
6,547,7.1
4,1845,11.7
3,1822,13.9
1,632,7.5
0,247,11.8
4,1413,12.6
2,1191,9.5
3,1154,14.5
9,2458,13.6
16,2225,10.3
2,1147,7.8
2,663,11.3
10,683,9.3
0,351,5.6
0,766,13.1
11,2637,12.7
3,164,6.0
6,687,8.2
0,1121,6.6
0,395,14.8
13,2072,13.1
1,217,5.8
2,1151,7.8
6,1280,9.6
1,856,6.6
1,340,10.3
2,539,7.5
1,922,6.3
5,612,10.3
5,1927,12.8
3,1004,6.9
16,2592,13.2
3,452,6.7
0,1045,11.1
2,871,7.5
1,302,5.8
0,586,14.7
0,1489,8.7
12,2461,15.0
12,1594,11.5
7,2492,12.4
11,2152,14.4
2,1343,12.8
6,273,5.2
9,1006,8.4
7,1347,9.5
5,1542,9.1
11,1300,8.9
7,1395,7.2
8,1114,6.1
8,1120,8.4
5,1938,12.5
14,1230,9.8
4,869,7.0
1,1906,11.2
4,1967,13.0
3,1210,9.9
8,813,6.6
11,1314,8.1
4,1072,7.1
1,2302,14.1
0,1459,11.4
2,1131,7.8
1,1450,10.9
1,1377,8.7
17,1026,7.2
17,1224,7.1
10,1417,11.0
21,1072,6.1
1,542,7.3
4,2019,12.4
3,1549,10.7
3,820,8.2
10,1727,13.6
3,520,5.4
19,1860,10.1
8,1642,11.0
7,1592,8.6
15,2536,14.8
2,752,8.3
4,245,6.6
17,1932,13.3
0,595,6.2
12,2633,13.8
1,508,5.9
0,823,13.8
17,918,7.9
0,2101,11.4
0,421,7.0
0,2338,13.7
2,1491,11.4
7,863,8.7
9,2020,14.5
18,1759,11.6
8,906,6.9
2,1779,12.5
7,2010,9.7
2,459,7.9
10,2549,13.7
10,715,9.5
3,531,6.4
0,526,11.7
0,465,10.3
0,636,9.4
1,737,5.9
0,1080,9.5
13,1425,7.9
0,485,6.1
10,1045,11.7
19,2180,12.1
9,1948,12.0
3,949,5.8
9,1360,11.0
0,630,14.6
9,879,7.0
4,755,8.7
2,1137,6.1
12,1111,7.5
4,710,5.4
4,1031,8.5
9,1275,13.3
1,1150,13.4
6,1074,8.8
14,2200,13.8
4,467,9.1
11,1260,11.3
3,676,11.6
1,1022,6.4
6,1267,10.7
8,777,6.6
8,751,9.1
13,952,7.4
8,1062,8.4
5,1654,9.7
13,1408,9.6
19,2708,14.8
0,452,13.3
1,1724,11.9
0,2861,13.7
7,1096,10.1
8,1305,10.6
3,438,6.9
1,954,11.0
1,788,6.8
10,687,9.0
12,2209,13.5
9,1970,10.5
7,2927,14.7
5,1406,8.3
5,1943,14.8
6,350,6.2
0,2752,14.2
2,1153,6.9
0,1483,11.6
3,472,8.2
3,709,9.2
0,269,9.0
0,1873,11.7
0,221,8.0
0,1197,12.3
17,2058,12.4
3,892,11.8
1,1412,12.2
9,1074,7.8
7,920,8.4
8,2115,11.7
10,511,5.1
1,878,12.7
0,949,6.7
3,1029,10.7
0,1285,10.0
0,345,14.0
5,1680,14.8
3,1220,9.6
0,164,7.1
12,2559,14.6
4,2063,11.7
0,276,7.7
2,593,13.3
7,1224,11.6
4,1103,8.7
2,573,8.2
8,823,8.9
8,1659,14.6
4,833,9.0
0,1105,5.8
7,898,5.3
7,984,9.7
0,643,11.6
0,541,12.9
0,1129,13.6
0,780,7.0
5,2382,11.3
5,732,6.7
10,935,5.0
3,664,5.8
6,1543,10.7
0,988,12.6
14,1800,11.1
4,768,11.2
7,1282,8.2
1,267,6.0
11,1724,10.5
14,930,9.6
16,2244,13.5
5,1386,12.4
5,1797,14.9
8,1816,12.2
6,1037,12.6
1,638,7.1
9,865,8.5
6,875,12.9
15,1258,8.8
4,2429,13.3
1,1256,7.9
1,379,6.8
0,1151,14.1
7,1172,6.7
0,1513,8.8
7,968,6.1
20,2367,14.4
4,1325,12.1
15,2326,11.1
12,405,5.2
16,1625,9.8
1,1278,12.9
4,915,10.2
0,862,5.1
4,214,5.2
10,1005,6.1
12,1343,8.3
13,911,7.9
9,1635,9.2
5,735,8.8
5,880,6.0
5,1284,13.6
4,590,8.0
5,318,5.8
6,2647,14.1
19,520,5.5
0,1333,9.1
15,1886,11.5
3,1044,7.1
6,1527,14.0
3,2189,13.9
15,1189,7.6
0,455,14.7
11,437,6.2
1,974,5.1
1,1118,14.4
0,701,5.9
1,534,9.8
6,1364,9.5
1,577,5.0
12,1147,10.8
10,1891,12.2
10,1287,8.1
7,1128,11.6
2,1479,12.2
10,1106,10.7
6,1387,9.0
9,2210,14.1
11,1764,8.8
2,1433,15.0
7,1568,7.5
9,2383,11.6
7,958,5.0
14,1599,9.5
7,1458,12.2
0,701,7.6
15,1359,8.0
10,971,7.5
0,639,8.0
8,1127,11.4
1,1046,8.7
7,1608,10.4
0,259,12.1
6,2468,12.9
0,361,5.7
16,2390,13.7
11,1536,9.5
12,2663,12.9
2,1715,13.6
15,2311,12.8
14,2039,10.6
1,1019,14.3
2,995,5.8
10,983,11.3
9,868,7.0
3,1687,13.1
11,2052,10.0
14,1211,8.6
10,1859,9.4
13,1134,6.8
16,2240,12.6
5,918,7.1
10,1649,11.5
3,1084,10.7
1,1809,13.1
0,2553,14.6
4,659,8.4
3,1062,7.4
5,1566,10.7
11,1024,8.0
10,2339,11.7
5,1446,11.8
4,550,7.6
4,1479,11.3
13,986,8.7
14,990,5.8
3,1156,14.4
10,1309,7.0
2,1161,12.0
9,676,5.0
5,996,10.4
18,1102,8.0
1,618,8.7
2,1893,11.9
0,254,10.2
5,706,7.2
4,1397,7.3
0,963,11.6
9,1858,13.6
10,1045,12.0
5,2430,11.0
3,1599,13.3
1,1052,6.5
11,922,9.8
10,1967,13.6
11,1041,8.0
7,1548,10.8
5,2559,13.2
5,351,5.3
4,411,6.2
5,519,9.0
5,886,13.1
0,1096,8.6
1,1682,13.6
3,394,5.3
0,1996,12.6
20,721,6.0
8,1701,12.3
12,1203,9.1
0,623,8.9
7,920,5.6
0,712,8.1
4,2161,13.3
8,576,5.5
5,948,5.2
1,1370,14.9
0,785,5.6
0,1591,15.0
7,640,9.8
13,1688,13.8
2,1119,11.8
7,1669,11.5
1,548,5.8
8,1907,12.5
8,1459,14.2
13,2632,13.9
3,899,6.8
3,1948,14.1
7,1568,12.7
1,1026,10.5
7,1759,11.8
7,692,7.0
0,1621,12.3
0,1081,14.4
4,1693,14.6
1,806,9.8
2,371,6.6
0,776,6.4
15,301,5.1
0,842,12.9
0,715,12.4
1,454,8.6
14,561,5.1
9,898,5.2
12,2213,10.8
11,1992,12.9
0,135,5.2
0,621,14.3
5,798,8.7
1,880,14.1
3,1603,13.7
7,1394,12.0
4,953,6.1
14,2325,14.2
9,886,5.2
0,739,9.4
1,1138,9.5
18,1859,10.6
10,921,9.4
21,2437,14.7
0,2051,11.1
5,1401,10.8
4,1805,10.0
1,1127,7.3
0,951,7.7
2,1277,11.0
4,2905,14.7
4,889,7.9
3,634,5.3
1,1202,11.9
2,1299,11.0
1,300,10.3
16,992,6.8
18,2039,11.1
20,2321,13.2
2,1893,10.4
2,975,8.8
1,816,7.3
9,1737,11.7
17,225,5.4
0,333,12.8
0,2159,14.7
3,2856,14.3
0,150,6.7
5,2184,11.6
2,987,14.5
2,563,6.7
8,1890,14.2
9,1702,8.9
3,1738,12.8
0,673,11.8
5,937,11.2
1,1346,11.8
1,982,8.7
3,1203,11.5
7,1976,10.6
3,875,10.6
4,1270,11.0
0,809,9.6
11,828,6.5
13,1724,10.0
0,780,6.8
0,1361,14.3
1,1004,9.0
0,453,8.2
3,1588,14.3
0,925,7.9
12,377,5.0
5,702,10.4
15,466,7.0
1,432,8.7
17,2431,13.3
14,547,7.1
1,1132,15.0
7,868,8.8
11,756,8.8
14,1203,9.5
0,379,6.7
10,991,6.4
7,1313,11.5
4,473,5.0
0,1116,11.3
4,860,9.0
5,946,9.1
5,984,12.4
3,844,5.1
14,2010,10.9
11,943,6.3
9,514,8.4
15,3241,14.1
1,314,9.7
6,2007,10.2
12,1815,12.7
1,1022,9.2
1,2518,14.1
6,1151,9.1
1,1674,13.2
4,690,12.9
0,902,11.9
13,375,5.3
2,1063,10.8
0,461,6.0
2,267,7.1
0,1291,14.3
4,215,5.9
1,572,9.8
6,1537,11.5
0,157,5.0
20,3057,14.7
18,1606,9.9
2,971,6.7
4,752,5.6
12,1612,14.0
3,2398,13.2
22,1673,10.8
3,412,10.9
3,769,6.5
6,1141,8.5
10,2003,12.4
7,1411,10.2
7,1272,11.6
7,1004,5.5
0,420,5.4
14,969,7.9
2,1035,5.9
0,813,8.2
17,2250,12.3
2,1315,11.4
2,1623,11.5
15,1416,9.6
6,1463,10.8
17,2202,14.7
10,1475,8.6
7,537,5.2
2,897,10.7
0,1291,11.0
3,2754,13.6
0,673,11.6
21,2497,13.2
1,1115,14.8
3,1408,14.6
1,2066,9.5
10,1947,13.4
2,593,6.3
15,1552,12.9
2,947,7.0
1,1034,9.3
9,1590,10.9
10,1391,9.0
6,1429,13.6
16,2367,13.4
7,1142,10.2
0,377,6.5
8,2153,14.2
1,1526,11.0
0,466,11.1
0,2115,14.9
6,2813,13.1
8,744,6.4
6,1983,11.2
16,255,5.2
0,1365,8.5
1,1703,9.0
7,758,5.6
4,1518,9.0
3,868,12.5
11,1182,7.1
10,1679,13.9
14,2515,14.1
0,487,13.6
4,984,5.8
4,632,7.5
0,514,10.0
6,973,7.6
0,325,5.3
3,2554,14.9
1,1046,8.8
8,1863,11.8
13,1114,8.7
3,2384,13.1
0,357,6.0
14,712,8.4
4,1445,13.5
12,1738,11.5
18,1651,8.4
10,1920,9.4
3,1540,12.3
3,776,13.6
2,1059,6.2
5,832,12.7
16,1734,14.3
3,812,6.9
5,1532,9.9
4,2623,13.9
2,803,8.0
2,858,5.5
0,853,13.5
0,723,12.3
0,879,12.1
1,450,7.4
2,528,13.1
19,1170,8.7
2,1669,10.1
3,1156,7.3
1,932,13.9
17,1110,8.7
7,728,5.7
9,2224,15.0
8,1296,13.9
3,1060,8.6
9,1489,8.3
10,1320,12.0
5,1271,9.8
13,374,5.8
6,2800,13.9
3,2209,12.3
3,751,11.2
3,1444,10.8
9,1450,11.3
10,2306,14.2
3,552,8.7
0,1123,9.7
9,3226,14.8
6,1519,10.3
0,557,11.6
5,1122,14.7
1,1202,12.2
1,1031,6.3
12,546,6.3
0,691,12.6
0,2263,14.9
16,2392,13.3
13,589,7.1
21,506,6.8
0,931,8.9
4,1183,8.6
2,1473,13.7
0,1489,12.1
4,989,7.5
7,376,6.6
1,2666,13.2
15,1438,9.6
18,799,8.3
7,1033,6.4
13,869,8.6
3,1460,13.1
6,315,5.3
2,1183,8.6
8,1017,9.7
17,2678,14.3
1,821,14.9
2,702,14.6
7,904,10.6
13,1068,6.6
4,383,7.4
13,1769,14.3
18,1959,9.8
10,1075,5.7
0,2201,11.8
18,1933,10.7
8,1539,10.6
3,704,6.3
5,1356,12.6
5,1035,10.5
1,1064,13.9
1,827,6.8
3,994,10.8
16,2993,14.9
9,439,6.2
9,1490,13.0
6,766,9.0
18,1899,9.5
3,669,8.5
2,663,14.3
5,870,11.0
11,1260,11.0
11,1077,10.1
13,945,7.5
3,1670,14.2
9,1671,14.4
0,457,14.6
0,731,7.2
14,1470,8.6
8,1395,10.2
6,1135,7.5
6,1367,10.0
4,1654,10.8
10,2849,13.7
18,3394,15.0
0,882,5.6
9,855,6.3
12,1362,9.8
6,1077,10.3
15,1040,8.5
7,1854,12.2
5,528,10.8
4,1209,10.7
0,685,8.7
2,555,6.7
7,980,11.9
19,2340,14.9
15,1927,13.3
3,771,10.1
10,1483,8.3
0,1081,8.5
5,2256,13.0
6,2071,11.2
11,852,7.0
16,2592,13.6
0,897,11.1
8,561,7.5
1,464,7.9
4,1506,11.2
0,1369,13.5
0,715,14.2
0,879,7.1
1,930,6.3
1,314,6.2
0,236,6.0
0,1105,8.2
6,1825,9.6
2,951,11.5
23,2224,13.2
0,879,10.1
1,2035,13.4
2,318,7.0
0,305,11.7
20,1125,8.3
4,2266,14.8
6,1087,13.4
10,1089,9.8
4,885,9.1
0,1000,12.4
9,1735,13.6
1,1062,14.4
12,1288,10.7
22,1247,9.3
1,521,13.6
5,975,7.5
5,1469,15.0
13,2094,14.8
1,1258,12.8
8,1104,11.2
4,1205,9.7
3,990,8.5
0,677,6.3
19,1795,10.1
4,829,10.1
0,721,7.8
14,3040,14.0
7,752,11.4
9,2210,11.1
1,1332,13.3
5,1266,7.7
2,663,5.6
0,550,12.2
2,633,8.1
10,1056,6.4
13,1092,5.8
8,1625,12.8
4,1237,7.2
0,226,7.7
2,381,5.6
7,2008,11.8
13,714,5.8
3,940,10.6
15,1741,9.1
5,1202,9.6
0,815,14.7
17,762,6.0
5,979,5.5
6,1177,12.5
1,1097,13.7
8,2270,14.5
8,1833,13.8
0,1531,13.7
13,839,7.1
5,955,10.4
10,857,8.1
6,1177,9.2
1,1220,10.9
6,1015,10.5
1,1064,11.3
2,939,8.2
8,1343,7.1
0,821,6.7
5,1494,13.6
1,1052,9.0
1,612,6.2
0,1641,11.3
3,674,5.3
5,1086,12.5
7,1538,8.6
4,1601,9.1
1,122,5.6
1,602,14.5
7,908,5.3
6,1624,14.6
1,839,5.3
6,493,8.4
0,1073,6.9
9,1154,11.6
5,1041,5.2
8,1259,10.8
12,642,6.5
14,455,5.0
5,1475,12.2
3,1222,8.4
17,1651,8.1
6,805,6.0
20,1428,10.7
4,929,5.4
3,1279,7.0
12,1560,13.2
4,1045,7.4
1,2002,10.7
4,474,7.0
0,1096,10.6
9,802,6.2
3,1057,12.2
4,509,7.7
7,521,6.6
2,1091,10.3
0,715,12.0
8,1269,10.2
14,2086,14.2
3,884,9.1
1,234,8.3
17,768,6.7
3,1016,8.0
14,2304,14.0
6,1036,14.4
18,1899,9.5
20,1113,9.8
2,1554,11.4
10,2585,13.8
6,1351,9.2
3,892,10.6
13,662,7.0
4,495,10.2
12,1867,11.4
8,639,7.9
0,1352,14.4
3,2037,12.3
1,574,6.6
8,2676,13.4
19,1760,11.2
9,1370,9.9
0,282,9.6
9,2062,14.8
11,1497,10.1
1,292,7.5
6,343,5.3
4,600,7.6
11,1754,14.1
7,1658,8.0
2,962,7.6
1,1617,8.8
14,2384,12.4
6,491,5.1
4,1585,11.4
7,1360,14.6
1,554,6.0
22,736,7.2
4,1655,9.7
13,2044,12.7
15,747,6.1
6,631,5.2
3,1908,12.4
1,1959,14.6
10,1331,13.7
1,1325,9.1
3,1516,11.6
10,803,7.4
0,764,9.6
0,665,5.1
10,809,8.2
4,245,5.8
1,1666,10.7
5,381,6.1
9,856,5.4
8,471,6.2
10,635,9.0
3,939,7.1
3,858,9.4
4,284,6.8
8,804,7.2
3,324,5.5
1,1034,12.7
2,663,5.0
15,833,5.1
5,1662,14.1
3,1210,8.4
4,1501,14.8
1,712,7.1
3,1228,11.0
17,2118,13.6
6,1417,10.2
3,929,13.0
19,884,5.5
12,1588,9.8
9,1076,11.6
1,767,7.6
4,1050,7.3
8,993,7.4
2,1051,14.1
2,1356,14.3
6,867,7.3
2,1576,10.4
0,571,5.9
3,796,7.0
0,732,8.1
5,440,9.4
6,2743,12.4
0,949,7.6
1,479,11.5
7,778,6.9
3,2524,14.9
3,625,9.0
2,1998,14.4
1,986,13.5
0,515,7.7
7,1572,12.1
2,834,5.2
1,680,8.7
9,2422,13.1
6,1008,7.6
2,1092,14.6
3,759,6.7
4,2040,14.6
5,1386,13.0
13,1454,10.2
1,726,10.4
2,1167,9.2
1,1748,11.4
2,732,7.4
6,286,5.7
1,772,8.6
16,1054,6.1
11,480,6.5
12,1637,11.6
3,624,7.2
7,1521,13.3
7,1223,10.7
2,1073,12.9
6,2421,14.7
4,955,12.3
4,824,7.1
1,1056,11.4
10,2411,12.4
0,785,9.3
0,529,9.6
6,1027,5.3
12,312,6.6
0,610,11.1
0,457,5.7
0,577,13.0
18,283,5.0
18,1330,9.8
15,2144,11.6
1,660,9.0
2,391,10.8
10,1331,10.2
2,733,8.3
14,1257,10.1
7,1592,11.7
7,433,6.3
20,1638,10.7
20,967,5.5
